// differentially methylated site (DMR) analysis results using methylMnM peckage 
chr	chrSt	chrEnd	Medip1	Medip2	MRE1	MRE2	cg	mrecg	pvalue	Ts	qvalue
chr1	565500	566000	1.522410143	0.849264539	202.8694074	0.553559114	10	5	2.66E-14	-7.614039532	3.71E-09
chr1	569500	570000	0.091711454	1.138786541	380.0423763	529.8667838	16	5	2.37E-08	-5.582870714	0.000640004
chr1	3216500	3217000	1.04551058	0.212316135	0	0	13	0	6.08E-08	5.28826073	0.006795533
chr1	4124500	4125000	1.192248907	0.270220535	0	0	4	0	2.37E-08	5.425134014	0.003246242
chr1	4125000	4125500	1.24727578	0.135110268	0	0	6	0	9.67E-13	6.73980176	4.96E-07
chr1	4125500	4126000	1.137222035	0.096507334	0	0	6	0	6.21E-13	6.676644202	3.45E-07
chr1	4126000	4126500	1.027168289	0.193014668	0	0	7	0	2.08E-08	5.376552859	0.002956254
chr1	4660000	4660500	0.880429962	0.405330803	0.37087643	3.099931038	29	19	3.61E-12	6.723493228	2.85E-07
chr1	54066000	54066500	0.311818945	0.791360138	3.39087022	1.107118228	9	3	2.25E-08	-5.481353447	0.000617982
chr1	89457000	89457500	0.42187269	0.656249871	3.814728997	0.664270937	15	6	7.66E-08	-5.277096964	0.001746748
chr1	149684000	149684500	1.100537453	0.289522002	3.76174665	8.026607151	29	11	1.32E-12	7.050211681	1.20E-07
chr1	157248500	157249000	1.008825999	0.521139603	1.907364499	7.362336214	27	10	5.08E-12	6.819048667	3.76E-07
chr1	157249000	157249500	0.495241854	0.154411734	2.649117359	10.62833499	16	9	7.07E-10	6.26075213	3.05E-05
chr1	161429000	161429500	1.44904098	0.926470406	0.317894083	2.103524633	17	5	2.06E-08	5.565742654	0.000574855
chr1	244978500	244979000	0.385188109	0.250919068	0.476841125	3.819557886	13	7	6.71E-07	4.899238355	0.009277932
chr10	5411500	5412000	0.330161236	2.238970148	0	0	8	0	2.09E-20	-8.883413597	3.49E-14
chr10	5412000	5412500	0.568611017	5.153491633	0	0	25	0	6.80E-52	-14.29438474	2.27E-45
chr10	42534500	42535000	2.824712796	0.791360138	0.052982347	0.110711823	10	0	6.10E-15	7.600050957	5.81E-09
chr10	42539000	42539500	3.54006214	0.54044107	0	0	14	0	4.21E-29	10.57685106	1.12E-22
chr10	42539500	42540000	0.82540309	0.096507334	0	0.055355911	8	0	1.26E-08	5.408684453	0.002032454
chr10	42544500	42545000	1.522410143	0.250919068	0.052982347	0	10	0	8.70E-13	6.800031194	4.56E-07
chr10	82368000	82368500	0.293476654	0.598345471	3.708764303	0.996406405	21	8	3.34E-07	-5.027439485	0.005338098
chr10	106035000	106035500	0.531926436	0.193014668	0.900699902	4.262405177	17	11	1.83E-09	5.922287032	6.69E-05
chr10	121887500	121888000	0.752033926	0.366727869	1.748417457	4.926676113	19	11	1.11E-07	5.25048479	0.002346093
chr10	131048500	131049000	0.513584145	0.829963072	1.854382151	0.110711823	13	2	2.88E-08	-5.432190626	0.000750037
chr10	131697000	131697500	0.550268726	1.061580674	7.417528606	1.383897785	37	19	5.22E-14	-7.409940803	6.52E-09
chr10	131697500	131698000	0.586953308	0.984374806	3.019993789	0.442847291	21	9	1.47E-09	-5.923079078	5.48E-05
chr10	133463000	133463500	0.146738327	0.366727869	2.596135012	0.38749138	7	2	4.62E-07	-4.931849309	0.006894632
chr11	5959500	5960000	1.302302653	0.791360138	0.847717555	3.764201974	29	15	3.71E-10	6.160068144	1.82E-05
chr11	10968000	10968500	0.036684582	0.617646937	0	0	3	0	1.79E-08	-5.355819048	0.002648932
chr11	36181500	36182000	0.476899563	0.714154271	1.854382151	0.110711823	16	3	1.46E-07	-5.14096057	0.002850001
chr11	73668500	73669000	0.898772253	0.598345471	2.702099706	8.635522176	22	11	2.04E-08	5.578174529	0.000573352
chr11	131550500	131551000	2.219417197	0.636948404	0	0	5	0	7.44E-12	6.653908654	3.15E-06
chr11	131551000	131551500	4.603915012	0.135110268	0	0	7	0	2.20E-61	14.62852624	8.40E-55
chr11	133328000	133328500	0.550268726	1.872242279	0.105964694	0.055355911	14	0	1.05E-10	-6.350285366	3.21E-05
chr11	134605000	134605500	0.330161236	0.0579044	1.006664596	3.432066506	35	3	3.35E-07	5.095834543	0.005323682
chr12	11700000	11700500	0.330161236	0.038602934	1.748417457	4.594540645	34	22	4.77E-07	5.095374963	0.007084119
chr12	31273000	31273500	0.348503527	0.115808801	0.158947042	3.542778329	28	13	4.66E-10	6.11601725	2.17E-05
chr12	31273500	31274000	0.403530399	0.193014668	0.476841125	3.59813424	27	12	5.04E-08	5.361059814	0.001218008
chr12	77417500	77418000	0.678664763	0.328124935	1.059646944	3.542778329	22	10	1.72E-07	5.139587381	0.003206494
chr12	131246000	131246500	0.256792072	0.714154271	4.874375941	2.158880544	19	6	1.84E-07	-5.172911023	0.003339699
chr12	132641500	132642000	1.779202216	3.532168423	0	0.055355911	3	0	9.78E-09	-5.738498047	0.001673245
chr12	133343000	133343500	0.256792072	0.54044107	4.238587775	0.664270937	19	7	5.16E-09	-5.749239209	0.000169944
chr13	21900500	21901000	0.752033926	0.366727869	0.635788166	2.38030419	30	12	3.00E-07	4.995838716	0.004950909
chr13	27470000	27470500	0.440214981	0.212316135	0.529823472	2.767795569	13	5	5.83E-07	4.892077721	0.008359565
chr13	60015000	60015500	0.550268726	0.115808801	0.105964694	4.207049265	14	4	7.48E-17	8.033229047	1.43E-11
chr13	88328500	88329000	1.357329525	0.752757205	2.225258582	5.148099759	26	10	4.46E-08	5.408532239	0.001091594
chr13	112886500	112887000	0.2017652	0.54044107	2.755082053	0.719626848	9	2	1.79E-07	-5.105148365	0.003313477
chr13	114964500	114965000	0.073369164	0.289522002	1.960346846	0.166067734	90	22	1.22E-07	-5.120894639	0.002491362
chr14	24641500	24642000	0.697007054	0.154411734	10.59646944	14.89074016	30	14	2.14E-07	5.186890342	0.003762866
chr14	29487000	29487500	0.238449781	1.756433478	0.052982347	0	24	0	6.74E-17	-8.01646013	8.56E-11
chr14	34188000	34188500	0.275134363	0.617646937	1.32455868	0.110711823	8	2	2.43E-07	-5.017559176	0.004181745
chr14	101827000	101827500	0.458557272	0.250919068	0.847717555	4.262405177	14	3	3.11E-07	5.059072048	0.005035091
chr14	104940000	104940500	0.715349344	0.366727869	0.423858777	2.657083747	33	16	4.98E-09	5.666114992	0.000167269
chr15	78177500	78178000	0.128396036	1.293198275	0	0	5	0	2.04E-14	-7.285549529	1.56E-08
chr15	89574000	89574500	0.146738327	0.694852805	3.337887873	0.221423646	15	6	2.15E-16	-7.806127485	3.89E-11
chr15	102062000	102062500	0.146738327	0.270220535	4.450517163	0.110711823	11	2	3.04E-07	-5.124820963	0.004979105
chr16	1507500	1508000	1.04551058	0.675551338	0.635788166	3.874913797	32	14	1.63E-10	6.246733516	8.80E-06
chr16	46398000	46398500	6.676593881	3.261947888	0.052982347	0	22	0	1.37E-14	7.629771159	1.11E-08
chr16	46398500	46399000	7.171835735	4.09191096	0	0	20	0	9.81E-11	6.419783204	3.04E-05
chr16	46400500	46401000	8.951037951	5.211396034	0.052982347	0	28	0	3.00E-12	6.9429081	1.40E-06
chr16	46409500	46410000	8.162319443	4.284925628	0	0	25	0	7.95E-15	7.720560016	7.07E-09
chr16	46410000	46410500	4.16370003	1.756433478	0	0	21	0	1.23E-12	6.996434069	6.10E-07
chr16	67997500	67998000	0.935456835	0.366727869	0.158947042	1.162474139	23	13	2.40E-07	5.114288737	0.00413961
chr16	89707500	89708000	0.917114544	0.0579044	0.211929389	3.542778329	21	10	2.53E-26	9.674464977	8.35E-21
chr16	90144500	90145000	0.275134363	0.443933736	4.927358288	0.442847291	17	4	2.42E-08	-5.519513201	0.000639755
chr17	107500	108000	0.586953308	0.887867472	5.934022884	1.60532143	26	5	4.03E-08	-5.43163316	0.00099421
chr17	4804500	4805000	0.586953308	0.173713201	4.397534816	11.34796183	27	11	5.10E-09	5.912857368	0.000169603
chr17	5403000	5403500	0.256792072	0.829963072	7.89436973	3.764201974	38	21	3.24E-09	-5.914351393	0.000113098
chr17	6558000	6558500	1.137222035	0.366727869	0.158947042	8.469454442	30	19	9.35E-30	10.91906364	3.77E-24
chr17	6558500	6559000	0.843745381	0.135110268	0.741752861	10.24084361	22	10	6.07E-25	10.34055381	1.69E-19
chr17	7254000	7254500	1.04551058	0.579044004	1.165611638	3.265998772	31	16	4.01E-07	4.982374107	0.006218276
chr17	13686000	13686500	1.063852871	0.038602934	0	0	27	0	1.56E-14	6.958366901	1.23E-08
chr17	13686500	13687000	0.752033926	0.0579044	0	0	2	0	5.35E-09	5.496179095	0.000984044
